**高等数学课程目录**

**第一章 函数与极限**
1.1 函数的概念及其性质
1.2 初等函数
1.3 数列的极限
1.4 函数的极限
1.5 无穷小与无穷大
1.6 极限运算法则
1.7 极限存在准则 两个重要极限
1.8 无穷小的比较
1.9 函数的连续性与间断点
1.10 连续函数的运算与初等函数的连续性
1.11 闭区间上连续函数的性质

**第二章 导数与微分**
2.1 导数概念
2.2 函数的求导法则
2.3 高阶导数
2.4 隐函数及由参数方程所确定的函数的导数 相关变化率
2.5 函数的微分

**第三章 微分中值定理与导数的应用**
3.1 微分中值定理
3.2 洛必达法则
3.3 泰勒公式
3.4 函数的单调性与曲线的凹凸性
3.5 函数的极值与最大值最小值
3.6 函数图形的描绘
3.7 曲率

**第四章 不定积分**
4.1 不定积分的概念与性质
4.2 换元积分法
4.3 分部积分法
4.4 有理函数的积分
4.5 积分表的使用

**第五章 定积分**
5.1 定积分的概念与性质
5.2 微积分基本公式
5.3 定积分的换元法和分部积分法
5.4 反常积分
5.5 反常积分的审敛法 Γ函数

**第六章 定积分的应用**
6.1 定积分的元素法
6.2 平面图形的面积
6.3 体积
6.4 平面曲线的弧长
6.5 功 水压力和引力

**第七章 微分方程**
7.1 微分方程的基本概念
7.2 可分离变量的微分方程
7.3 齐次方程
7.4 一阶线性微分方程
7.5 全微分方程
7.6 可降阶的高阶微分方程
7.7 高阶线性微分方程
7.8 常系数齐次线性微分方程
7.9 常系数非齐次线性微分方程

**第八章 空间解析几何与向量代数**
8.1 向量及其线性运算
8.2 数量积 向量积 混合积
8.3 曲面及其方程
8.4 空间曲线及其方程
8.5 平面及其方程
8.6 空间直线及其方程

**第九章 多元函数微分法及其应用**
9.1 多元函数的基本概念
9.2 偏导数
9.3 全微分
9.4 多元复合函数的求导法则
9.5 隐函数的求导公式
9.6 多元函数微分学的几何应用
9.7 方向导数与梯度
9.8 多元函数的极值及其求法
9.9 二元函数的泰勒公式
9.10 最小二乘法

**第十章 重积分**
10.1 二重积分的概念与性质
10.2 二重积分的计算法
10.3 三重积分的概念及其计算法
10.4 重积分的应用
10.5 含参变量的积分

**第十一章 曲线积分与曲面积分**
11.1 对弧长的曲线积分
11.2 对坐标的曲线积分
11.3 格林公式及其应用
11.4 对面积的曲面积分
11.5 对坐标的曲面积分
11.6 高斯公式 通量与散度
11.7 斯托克斯公式 环流量与旋度

**第十二章 无穷级数**
12.1 常数项级数的概念和性质
12.2 常数项级数的审敛法
12.3 幂级数
12.4 函数展开成幂级数
12.5 函数的幂级数展开式的应用
12.6 函数项级数的一致收敛性及一致收敛级数的基本性质
12.7 傅里叶级数
12.8 一般周期函数的傅里叶级数
